id,soato_id,name_uz,name_oz,name_ru
2,1703,Andijon viloyati,Андижон вилояти,Андижанская область
3,1706,Buxoro viloyati,Бухоро вилояти,Бухарская область
4,1708,Jizzax viloyati,Жиззах вилояти,Джизакская область
5,1710,Qashqadaryo viloyati,Қашқадарё вилояти,Кашкадарьинская область
6,1712,Navoiy viloyati,Навоий вилояти,Навоийская область
7,1714,Namangan viloyati,Наманган вилояти,Наманганская область
8,1718,Samarqand viloyati,Самарқанд вилояти,Самаркандская область
10,1724,Sirdaryo viloyati,Сирдарё вилояти,Сырдарьинская область
11,1726,Toshkent shahri,Тошкент шаҳри,город Ташкент
12,1727,Toshkent viloyati,Тошкент вилояти,Ташкентская область
13,1730,Farg'ona viloyati,Фарғона вилояти,Ферганская область
14,1733,Xorazm viloyati,Хоразм вилояти,Хорезмская область
15,1735,Qoraqalpog'iston Respublikasi,Қорақалпоғистон Республикаси,Республика Каракалпакстан
5723,1722,Surxondaryo viloyati,Сурхондарё вилояти,Сурхандарьинская область
