"id","district_id","name_uz","name_oz","name_ru"
"1","31","Ayrilish","Айрилиш","Айрилиш"
"2","31","Butaqora","Бутақора","Бутақора"
"3","31","Bo‘taqora","Бўтақора","Бўтақора"
"4","31","Guliston","Гулистон","Гулистон"
"5","31","Gulobod","Гулобод","Гулобод"
"6","31","Gumbaz","Гумбаз","Гумбаз"
"7","31","Yorboshi","Ёрбоши","Ёрбоши"
"8","31","Zavroq","Завроқ","Завроқ"
"9","31","Kuyganyor","Куйганёр","Куйганёр"
"10","31","Kunji","Кунжи","Кунжи"
"11","31","Qoraqalpoq","Қорақалпоқ","Қорақалпоқ"
"12","31","Qo‘nji","Қўнжи","Қўнжи"
"13","31","Qo‘shariq","Қўшариқ","Қўшариқ"
"14","31","Nayman","Найман","Найман"
"15","31","Namuna","Намуна","Намуна"
"16","31","Og‘ullik","Оғуллик","Оғуллик"
"17","31","Oq-yor","Оқ-ёр","Оқ-ёр"
"18","31","Oq-yor","Оқ-ёр","Оқ-ёр"
"19","31","Orol","Орол","Орол"
"20","31","Rovvot","Роввот","Роввот"
"21","31","Xakan","Хакан","Хакан"
"22","31","Xartum","Хартум","Хартум"
"23","31","Xartum","Хартум","Хартум"
"24","31","Xrabek","Храбек","Храбек"
"25","31","Chilon","Чилон","Чилон"
"26","31","Chumbog‘ich","Чумбоғич","Чумбоғич"
"27","31","Ekin tikin","Экин тикин","Экин тикин"
"28","31","Yangiobod","Янгиобод","Янгиобод"
"29","32","Asaka","Асака","Асака"
"30","32","Zarbdor","Зарбдор","Зарбдор"
"31","32","Ilg‘or","Илғор","Илғор"
"32","32","Kujgan","Кужган","Кужган"
"33","32","Kujgan","Кужган","Кужган"
"34","32","Qadim","Қадим","Қадим"
"35","32","Qoratepa","Қоратепа","Қоратепа"
"36","32","Mustahkam

Mustahkam
Mustahkam","Мустаҳкам","Мустаҳкам"
"37","32","Navkan","Навкан","Навкан"
"38","32","Niyozbotir","Ниёзботир","Ниёзботир"
"39","32","Oqbo‘yra","Оқбўйра","Оқбўйра"
"40","32","T.Aliyev","Т.Алиев","Т.Алиев"
"41","32","O‘zbekiston","Ўзбекистон","Ўзбекистон"
"42","33","Baliqchi","Балиқчи","Балиқчи"
"43","33","Baliqchi","Балиқчи","Балиқчи"
"44","33","Bo‘ston","Бўстон","Бўстон"
"45","33","Guliston","Гулистон","Гулистон"
"46","33","Olimbek","Олимбек","Олимбек"
